supa/ciorba,Fel principal,desert,supa_veg,fel vegetarian,desert veg,supa_flex, fel flex
Ciorba de perisoare,Cordon Bleu de pui la cuptor, Amandina,Supa de linte cu crutoane,Cartof umplut cu pasta de masline,Brio?e s?n?toase cu morcov (din f?in? de gr�u spelta),supa/ciorba de peste,"�Somon� din tofu cu sparanghel, cartofi fondan?i ?i sos olandez vegan"
Supa de galusti,Piept de ra?? �n sos de rodii,Papana?ii,Supa crema de legume cu crutoane,mancare de fasole verde,�nghe?at? antistres cu lavand? ?i afine,,Sushi Vegan
Ciorba de miel,Toc?ni?? de vit? cu ciuperci,�G?lu?tele cu prune,Supa cu ciuperci champignon,Ciuperci la cuptor,Pr?jiturele cu scor?i?oar? ?i ov?z u?or de preparat�,,Chiftelute din peste
Ciorba de fasole,Paste suedeze,Crema de zah?r ars,Supa mexicana de rosi,"Cartofi prajiti, dulci sau albi/rosii",Budinc? cu orez ?i lapte s?n?toas? ?i cu un gust exotic veritabil�,,"somon la gr?tar, un cartof dulce copt ?i fasole verde sotat?."
Supa de gaina cu taitei,Chiftelu?e �n sos de bere,Prajitura Alba ca Zapada,Supa cu naut si spanac,Pilaf cu legume cu salata verd,Porridge cu m?r ?i cocos f?r? zah?r sau gluten,,Crap la cuptor cu legume
Ciorba de vacuta,Pui la cuptor cu orez ?i cartofi,Pl?cinta cu mere sau cu dovleac,Ciorba de frunze de sfecla,Falafel,�p?tr??elele cu cacao�,,File de dorada cu cartofi si portocale la cuptor
Ciorba a la grec,Maz?re cu pui,Tort de ciocolata,Supa clara cu broccoli,"Orez preparat in stil chinezesc, cu legume",pr?jitur? cu morcov�,,Dovlecei cu ton si rosii cherry la cuptor
Ciorba de macris cu carne de caprioara,Tochitur? de porc,Brazilian Pav�,Ciorba de varza cu cartofi,paste cu legume,gust?rele de migdale cu umplutur? de curmale,,Scrumbie afumata reteta dobrogeana
Bors de tacamuri de pui,Ciulama de ciuperci champignon,Tort olandez,Supa curry,Varza calita cu mamaligut,Negresele cu ov?z ?i sfecl? ro?ie�,,
Ciorba cu coada de vita (acrita cu zeama de varza),S?rm?lu?e tradi?ionale,Cabane,Supa picanta de dovleac,Tocanita de cartofi cu salata sau muraturi�,"pr?jitur? cu ciocolat? fitness ""Chocaholic""",,
Supa limpede din oase si rasol de vita,,,,Ostropel cu soia,,,
Ciorba ardeleneasca de cartofi cu afumatura,,,,Tofu banh mi,,,
Ciorba ardeleneasca de vitel cu smantana,,,,Vinete Saganaki vegane,,,
Ciorba radauteana,,,,Quiche vegan f?r? crust?,,,
