Tim Burton  ,  director (4 episodes 2022) ,  vampire , flexitarian , 
James Marshall  ,  director (2 episodes 2022) ,  mermaid , anything , 
Gandja Monteiro  ,  director (2 episodes 2022) ,  human , vegetarian , 
Charles Addams  ,  based on characters created by (8 episodes 2022) ,  werewolf , flexitarian , 
Alfred Gough  ,  writer  (4 episodes 2022) ,  werewolf , flexitarian , 
Miles Millar  ,  writer  (4 episodes 2022) ,  werewolf , vegetarian , 
Kayla Alpert  ,  writer  (2 episodes 2022) ,  seer , anything , 
April Blair  ,  writer  (2 episodes 2022) ,  human , flexitarian , 
Matt Lambert  ,  writer  (1 episodes 2022) ,  vampire , flexitarian , 
Jenna Ortega  ,  actor/actress: Wednesday Addams (8 episodes 2022) ,  human , vegetarian , 
Gwendoline Christie  ,  actor/actress: Principal Larissa Weems (8 episodes 2022) ,  werewolf , flexitarian , 
Riki Lindhome  ,  actor/actress: Dr. Valerie Kinbott (8 episodes 2022) ,  vampire , anything , 
Emma Myers  ,  actor/actress: Enid Sinclair (8 episodes 2022) ,  werewolf , anything , 
Joy Sunday  ,  actor/actress: Bianca Barclay (8 episodes 2022) ,  werewolf , flexitarian , 
Naomi J. Ogawa  ,  actor/actress: Yoko Tanaka (8 episodes 2022) ,  werewolf , vegetarian , 
Christina Ricci  ,  actor/actress: Marilyn Thornhill (8 episodes 2022) ,  vampire , vegetarian , 
Jamie McShane  ,  actor/actress: Sheriff Donovan Galpin (8 episodes 2022) ,  human , anything , 
Hunter Doohan  ,  actor/actress: Tyler Galpin (8 episodes 2022) ,  human , anything , 
Percy Hynes White  ,  actor/actress: Xavier Thorpe (8 episodes 2022) ,  mermaid , flexitarian , 
Georgie Farmer  ,  actor/actress: Ajax Petropolus (8 episodes 2022) ,  vampire , vegetarian , 
Johnna Dias-Watson  ,  actor/actress: Divina (8 episodes 2022) ,  werewolf , flexitarian , 
Oliver Watson  ,  actor/actress: Kent (8 episodes 2022) ,  seer , anything , 
Victor Dorobantu  ,  actor/actress: Thing (8 episodes 2022) ,  human , vegetarian , 
Moosa Mostafa  ,  actor/actress: Eugene Ottinger (8 episodes 2022) ,  seer , vegetarian , 
Daniel Himschoot  ,  actor/actress: Hyde Monster (8 episodes 2022) ,  vampire , anything , 
Luyanda Unati Lewis-Nyawo  ,  actor/actress: Deputy Ritchie Santiago (8 episodes 2022) ,  seer , vegetarian , 
Iman Marson  ,  actor/actress: Lucas (8 episodes 2022) ,  seer , vegetarian , 
Calum Ross  ,  actor/actress: Rowan Laslow (8 episodes 2022) ,  werewolf , flexitarian , 
Cezar Grumazescu  ,  actor/actress: Coach Vlad (8 episodes 2022) ,  mermaid , vegetarian , 
Tommie Earl Jenkins  ,  actor/actress: Mayor Noble Walker (8 episodes 2022) ,  werewolf , vegetarian , 
Catherine Zeta-Jones  ,  actor/actress: Morticia Addams (8 episodes 2022) ,  vampire , anything , 
Morgan Beale  ,  actor/actress: Jonah (8 episodes 2022) ,  vampire , vegetarian , 
George Burcea  ,  actor/actress: Lurch (8 episodes 2022) ,  seer , flexitarian , 
Islam Bouakkaz  ,  actor/actress: Carter (8 episodes 2022) ,  seer , vegetarian , 
William Houston  ,  actor/actress: Joseph Crackstone (8 episodes 2022) ,  seer , anything , 
Karina Varadi  ,  actor/actress: Wednesday (6yo)  (8 episodes 2022) ,  mermaid , flexitarian , 
Rina Mahoney  ,  actor/actress: Janet Ottinger (8 episodes 2022) ,  vampire , anything , 
Georgia Goodman  ,  actor/actress: Sue Ottinger (8 episodes 2022) ,  human , anything , 
Murray McArthur  ,  actor/actress: Fabian (8 episodes 2022) ,  seer , flexitarian , 
Fred Armisen  ,  actor/actress: Uncle Fester (8 episodes 2022) ,  werewolf , anything , 
Luis Guzm�n  ,  actor/actress: Gomez Addams (8 episodes 2022) ,  vampire , flexitarian , 
Olimpia Malai  ,  actor/actress: The Minister (8 episodes 2022) ,  vampire , anything , 
Isaac Ordonez  ,  actor/actress: Pugsley Addams (8 episodes 2022) ,  mermaid , flexitarian , 
Nitin Ganatra  ,  actor/actress: Dr. Anwar (8 episodes 2022) ,  werewolf , flexitarian , 
Lucius Hoyos  ,  actor/actress: Young Gomez (8 episodes 2022) ,  human , anything , 
Cheherezade Valentine Okotaka Ebale  ,  actor/actress: Lou-Anne Walker (8 episodes 2022) ,  human , anything , 
Oliver Wickham  ,  actor/actress: Young Larissa Weems (8 episodes 2022) ,  human , anything , 
Edward Kennedy  ,  actor/actress: MC Blood Suckaz (8 episodes 2022) ,  mermaid , flexitarian , 
Ismail Kesu  ,  actor/actress: Young Sheriff Walker (8 episodes 2022) ,  vampire , vegetarian , 
Caroline Lawrie  ,  actor/actress: Martha (8 episodes 2022) ,  human , flexitarian , 
Lachele Carl  ,  actor/actress: Agnes (8 episodes 2022) ,  vampire , anything , 
Gwen Jones  ,  actor/actress: Young Morticia Addams (8 episodes 2022) ,  werewolf , vegetarian , 
Lisa O'Hare  ,  actor/actress: Arlene (8 episodes 2022) ,  mermaid , flexitarian , 
Sophia Nomvete  ,  actor/actress: Connie Jorgensen (8 episodes 2022) ,  vampire , vegetarian , 
Ichir� Y�ki  ,  actor/actress: Kenichi Tanaka (8 episodes 2022) ,  vampire , anything , 
Amanda Drew  ,  actor/actress: Esther Sinclair (8 episodes 2022) ,  human , anything , 
Ryan Ellsworth  ,  actor/actress: Murray Sinclair (8 episodes 2022) ,  human , vegetarian , 
Gloria Garcia  ,  actor/actress: Goody's Mom (8 episodes 2022) ,  mermaid , anything , 
Gracy Goldman  ,  actor/actress: Gabrielle (8 episodes 2022) ,  seer , flexitarian , 
Lewis Hayes  ,  actor/actress: Garett Gates (8 episodes 2022) ,  seer , anything , 
Philip Rosch  ,  actor/actress: Ansel Gates (8 episodes 2022) ,  werewolf , flexitarian , 
Michael Okele  ,  actor/actress: Morga(uncredited) (8 episodes 2022) ,  seer , flexitarian , 
Chloe Cate  ,  actor/actress: Studen(uncredited) (8 episodes 2022) ,  vampire , anything , 
Kayla Alpert  ,  executive producer (8 episodes 2022) ,  mermaid , vegetarian , 
Gail Berman  ,  executive producer (8 episodes 2022) ,  human , anything , 
Tim Burton  ,  executive producer (8 episodes 2022) ,  seer , anything , 
Jonathan Glickman  ,  executive producer (8 episodes 2022) ,  werewolf , flexitarian , 
Carla Gonz�lez Vargas  ,  co-executive producer (8 episodes 2022) ,  vampire , vegetarian , 
Alfred Gough  ,  executive producer (8 episodes 2022) ,  mermaid , anything , 
Tommy Harper  ,  executive producer (8 episodes 2022) ,  vampire , vegetarian , 
Nick Iannelli  ,  co-producer (8 episodes 2022) ,  mermaid , vegetarian , 
Kevin Lafferty  ,  executive producer (8 episodes 2022) ,  human , vegetarian , 
Miles Millar  ,  executive producer (8 episodes 2022) ,  werewolf , flexitarian , 
David Minkowski  ,  co-executive producer (8 episodes 2022) ,  werewolf , anything , 
Kevin Miserocchi  ,  executive producer (8 episodes 2022) ,  seer , vegetarian , 
Andrew Mittman  ,  executive producer (8 episodes 2022) ,  vampire , vegetarian , 
Carmen Pepelea  ,  producer (8 episodes 2022) ,  vampire , vegetarian , 
Steve Stark  ,  executive producer (8 episodes 2022) ,  mermaid , flexitarian , 
Natalie Testa  ,  associate producer (8 episodes 2022) ,  vampire , anything , 
Todd Williams  ,  co-executive producer (8 episodes 2022) ,  werewolf , flexitarian , 
Chris Bacon  ,  music (7 episodes 2022) ,  mermaid , anything , 
Danny Elfman  ,  music (4 episodes 2022) ,  seer , vegetarian , 
Stephan Pehrsson  ,  cinematography (4 episodes 2022) ,  human , anything , 
David Lanzenberg  ,  cinematography (4 episodes 2022) ,  werewolf , anything , 
Ana Yavari  ,  film editing (4 episodes 2022) ,  human , vegetarian , 
Jay Prychidny  ,  film editing (4 episodes 2022) ,  vampire , flexitarian , 
Paul G. Day  ,  film editing (1 episode 2022) ,  vampire , flexitarian , 
Florina Fernandes  ,  casting (8 episodes 2022) ,  mermaid , anything , 
Sophie Holland  ,  casting (8 episodes 2022) ,  vampire , anything , 
John Papsidera  ,  casting (8 episodes 2022) ,  human , flexitarian , 
Mark Scruton  ,  production design (8 episodes 2022) ,  mermaid , vegetarian , 
Adrian Curelea  ,  supervising art director (8 episodes 2022) ,  werewolf , flexitarian , 
Ghinea Diana  ,  art direction (8 episodes 2022) ,  seer , vegetarian , 
Silvia Nancu  ,  art direction (8 episodes 2022) ,  mermaid , vegetarian , 
Andrei-Florian Popa  ,  assistant art director / additional standby art director (8 episodes 2022) ,  seer , anything , 
Serban Porupca  ,  senior art director (8 episodes 2022) ,  mermaid , flexitarian , 
Vlad Roseanu  ,  on-set art director / art director (8 episodes 2022) ,  seer , flexitarian , 
Roxana Alexandru  ,  art direction (3 episodes 2022) ,  vampire , anything , 
Carmen Ratoi  ,  art direction (3 episodes 2022) ,  mermaid , anything , 
Laurentiu Zarnoianu  ,  set direction (8 episodes 2022) ,  seer , vegetarian , 
David Morison  ,  set direction (4 episodes 2022) ,  werewolf , vegetarian , 
Rob Hepburn  ,  set direction (4 episodes 2022) ,  mermaid , anything , 
Colleen Atwood  ,  costume design (8 episodes 2022) ,  mermaid , anything , 
Bianca Boeroiu  ,  makeup artist (8 episodes 2022) ,  human , anything , 
Catalin Ciutu  ,  hair stylist supervisor: crowd (8 episodes 2022) ,  human , vegetarian , 
Natalie L Costello  ,  special makeup effects artist (8 episodes 2022) ,  werewolf , flexitarian , 
Julian Hutcheson  ,  special makeup effects artist (8 episodes 2022) ,  human , vegetarian , 
Nirvana Jalalvand  ,  hair & makeup artist: main team (8 episodes 2022) ,  seer , vegetarian , 
Grace McComisky  ,  prosthetic artist / prosthetic makeup artist (8 episodes 2022) ,  human , anything , 
Tara McDonald  ,  hair & makeup designer (8 episodes 2022) ,  werewolf , flexitarian , 
Dominic Mombrun  ,  dental effects designer & fabricator (8 episodes 2022) ,  vampire , vegetarian , 
Angela Ruiz Morales  ,  prosthetics artist (8 episodes 2022) ,  human , vegetarian , 
Paraschiv Oana  ,  makeup artist (8 episodes 2022) ,  vampire , flexitarian , 
Alexandru Sassu  ,  assistant makeup artist (8 episodes 2022) ,  human , vegetarian , 
Bas Schwarz  ,  special effects makeup artist: mouldmaker & props (8 episodes 2022) ,  mermaid , vegetarian , 
Rub�n Serra  ,  special makeup effects artist (8 episodes 2022) ,  seer , vegetarian , 
Margo Stefan  ,  hair stylist (8 episodes 2022) ,  human , vegetarian , 
Viktoria Stieber  ,  prosthetic makeup artist (8 episodes 2022) ,  vampire , anything , 
Sinead Sweeney  ,  SFX contact lens coordinator (8 episodes 2022) ,  vampire , flexitarian , 
Iuliana Temelie  ,  hair stylist (8 episodes 2022) ,  werewolf , vegetarian , 
Clara Tudose  ,  hair & makeup artist (8 episodes 2022) ,  vampire , vegetarian , 
