Tim Burton   ,   director (4 episodes 2022) ,   human  , vegetarian ,  flexitarian  , anything ,   , vegetarian , 
James Marshall   ,   director (2 episodes 2022) ,   vampire  , anything ,  anything  , anything ,   , vegetarian , 
Gandja Monteiro   ,   director (2 episodes 2022) ,   mermaid  , flexitarian ,  vegetarian  , flexitarian ,   , anything , 
Charles Addams   ,   based on characters created by (8 episodes 2022) ,   seer  , flexitarian ,  anything  , vegetarian ,   , anything , 
Alfred Gough   ,   writer  (4 episodes 2022) ,   human  , vegetarian ,  anything  , anything ,   , anything , 
Miles Millar   ,   writer  (4 episodes 2022) ,   werewolf  , anything ,  vegetarian  , anything ,   , vegetarian , 
Kayla Alpert   ,   writer  (2 episodes 2022) ,   vampire  , vegetarian ,  flexitarian  , flexitarian ,   , vegetarian , 
April Blair   ,   writer  (2 episodes 2022) ,   seer  , anything ,  anything  , flexitarian ,   , vegetarian , 
Matt Lambert   ,   writer  (1 episodes 2022) ,   seer  , vegetarian ,  flexitarian  , anything ,   , flexitarian , 
Jenna Ortega   ,   actor/actress: Wednesday Addams (8 episodes 2022) ,   seer  , anything ,  anything  , vegetarian ,   , vegetarian , 
Gwendoline Christie   ,   actor/actress: Principal Larissa Weems (8 episodes 2022) ,   mermaid  , vegetarian ,  vegetarian  , anything ,   , flexitarian , 
Riki Lindhome   ,   actor/actress: Dr. Valerie Kinbott (8 episodes 2022) ,   werewolf  , flexitarian ,  anything  , anything ,   , anything , 
Emma Myers   ,   actor/actress: Enid Sinclair (8 episodes 2022) ,   seer  , anything ,  anything  , vegetarian ,   , vegetarian , 
Joy Sunday   ,   actor/actress: Bianca Barclay (8 episodes 2022) ,   mermaid  , anything ,  vegetarian  , vegetarian ,   , flexitarian , 
Naomi J. Ogawa   ,   actor/actress: Yoko Tanaka (8 episodes 2022) ,   vampire  , vegetarian ,  flexitarian  , flexitarian ,   , anything , 
Christina Ricci   ,   actor/actress: Marilyn Thornhill (8 episodes 2022) ,   vampire  , anything ,  anything  , vegetarian ,   , anything , 
Jamie McShane   ,   actor/actress: Sheriff Donovan Galpin (8 episodes 2022) ,   mermaid  , vegetarian ,  anything  , anything ,   , anything , 
Hunter Doohan   ,   actor/actress: Tyler Galpin (8 episodes 2022) ,   seer  , anything ,  vegetarian  , anything ,   , flexitarian , 
