Tim Burton  ,  director (4 episodes 2022) ,  seer , anything , 
James Marshall  ,  director (2 episodes 2022) ,  werewolf , anything , 
Gandja Monteiro  ,  director (2 episodes 2022) ,  seer , flexitarian , 
Charles Addams  ,  based on characters created by (8 episodes 2022) ,  seer , anything , 
Alfred Gough  ,  writer  (4 episodes 2022) ,  seer , vegetarian , 
Miles Millar  ,  writer  (4 episodes 2022) ,  mermaid , flexitarian , 
Kayla Alpert  ,  writer  (2 episodes 2022) ,  vampire , flexitarian , 
April Blair  ,  writer  (2 episodes 2022) ,  human , vegetarian , 
Matt Lambert  ,  writer  (1 episodes 2022) ,  mermaid , anything , 
Jenna Ortega  ,  actor/actress: Wednesday Addams (8 episodes 2022) ,  human , flexitarian , 
Gwendoline Christie  ,  actor/actress: Principal Larissa Weems (8 episodes 2022) ,  mermaid , vegetarian , 
Riki Lindhome  ,  actor/actress: Dr. Valerie Kinbott (8 episodes 2022) ,  mermaid , anything , 
Emma Myers  ,  actor/actress: Enid Sinclair (8 episodes 2022) ,  seer , flexitarian , 
Joy Sunday  ,  actor/actress: Bianca Barclay (8 episodes 2022) ,  seer , vegetarian , 
Naomi J. Ogawa  ,  actor/actress: Yoko Tanaka (8 episodes 2022) ,  werewolf , anything , 
Christina Ricci  ,  actor/actress: Marilyn Thornhill (8 episodes 2022) ,  seer , anything , 
Jamie McShane  ,  actor/actress: Sheriff Donovan Galpin (8 episodes 2022) ,  werewolf , flexitarian , 
Hunter Doohan  ,  actor/actress: Tyler Galpin (8 episodes 2022) ,  werewolf , vegetarian , 
Percy Hynes White  ,  actor/actress: Xavier Thorpe (8 episodes 2022) ,  vampire , vegetarian , 
Georgie Farmer  ,  actor/actress: Ajax Petropolus (8 episodes 2022) ,  werewolf , vegetarian , 
Johnna Dias-Watson  ,  actor/actress: Divina (8 episodes 2022) ,  human , anything , 
Oliver Watson  ,  actor/actress: Kent (8 episodes 2022) ,  vampire , vegetarian , 
Victor Dorobantu  ,  actor/actress: Thing (8 episodes 2022) ,  mermaid , flexitarian , 
Moosa Mostafa  ,  actor/actress: Eugene Ottinger (8 episodes 2022) ,  vampire , vegetarian , 
Daniel Himschoot  ,  actor/actress: Hyde Monster (8 episodes 2022) ,  werewolf , anything , 
Luyanda Unati Lewis-Nyawo  ,  actor/actress: Deputy Ritchie Santiago (8 episodes 2022) ,  seer , anything , 
Iman Marson  ,  actor/actress: Lucas (8 episodes 2022) ,  mermaid , anything , 
Calum Ross  ,  actor/actress: Rowan Laslow (8 episodes 2022) ,  human , vegetarian , 
Cezar Grumazescu  ,  actor/actress: Coach Vlad (8 episodes 2022) ,  werewolf , flexitarian , 
Tommie Earl Jenkins  ,  actor/actress: Mayor Noble Walker (8 episodes 2022) ,  vampire , flexitarian , 
Catherine Zeta-Jones  ,  actor/actress: Morticia Addams (8 episodes 2022) ,  mermaid , flexitarian , 
Morgan Beale  ,  actor/actress: Jonah (8 episodes 2022) ,  mermaid , anything , 
George Burcea  ,  actor/actress: Lurch (8 episodes 2022) ,  werewolf , anything , 
Islam Bouakkaz  ,  actor/actress: Carter (8 episodes 2022) ,  vampire , flexitarian , 
William Houston  ,  actor/actress: Joseph Crackstone (8 episodes 2022) ,  werewolf , anything , 
Karina Varadi  ,  actor/actress: Wednesday (6yo)  (8 episodes 2022) ,  werewolf , flexitarian , 
Rina Mahoney  ,  actor/actress: Janet Ottinger (8 episodes 2022) ,  vampire , vegetarian , 
Georgia Goodman  ,  actor/actress: Sue Ottinger (8 episodes 2022) ,  mermaid , vegetarian , 
Murray McArthur  ,  actor/actress: Fabian (8 episodes 2022) ,  vampire , anything , 
Fred Armisen  ,  actor/actress: Uncle Fester (8 episodes 2022) ,  mermaid , anything , 
Luis Guzm�n  ,  actor/actress: Gomez Addams (8 episodes 2022) ,  mermaid , vegetarian , 
Olimpia Malai  ,  actor/actress: The Minister (8 episodes 2022) ,  mermaid , flexitarian , 
Isaac Ordonez  ,  actor/actress: Pugsley Addams (8 episodes 2022) ,  human , anything , 
Nitin Ganatra  ,  actor/actress: Dr. Anwar (8 episodes 2022) ,  vampire , flexitarian , 
Lucius Hoyos  ,  actor/actress: Young Gomez (8 episodes 2022) ,  seer , anything , 
Cheherezade Valentine Okotaka Ebale  ,  actor/actress: Lou-Anne Walker (8 episodes 2022) ,  vampire , vegetarian , 
Oliver Wickham  ,  actor/actress: Young Larissa Weems (8 episodes 2022) ,  seer , anything , 
Edward Kennedy  ,  actor/actress: MC Blood Suckaz (8 episodes 2022) ,  vampire , flexitarian , 
Ismail Kesu  ,  actor/actress: Young Sheriff Walker (8 episodes 2022) ,  mermaid , anything , 
Caroline Lawrie  ,  actor/actress: Martha (8 episodes 2022) ,  human , vegetarian , 
Lachele Carl  ,  actor/actress: Agnes (8 episodes 2022) ,  mermaid , anything , 
Gwen Jones  ,  actor/actress: Young Morticia Addams (8 episodes 2022) ,  seer , anything , 
Lisa O'Hare  ,  actor/actress: Arlene (8 episodes 2022) ,  human , flexitarian , 
Sophia Nomvete  ,  actor/actress: Connie Jorgensen (8 episodes 2022) ,  mermaid , anything , 
Ichir� Y�ki  ,  actor/actress: Kenichi Tanaka (8 episodes 2022) ,  vampire , flexitarian , 
Amanda Drew  ,  actor/actress: Esther Sinclair (8 episodes 2022) ,  seer , anything , 
Ryan Ellsworth  ,  actor/actress: Murray Sinclair (8 episodes 2022) ,  vampire , anything , 
Gloria Garcia  ,  actor/actress: Goody's Mom (8 episodes 2022) ,  mermaid , vegetarian , 
Gracy Goldman  ,  actor/actress: Gabrielle (8 episodes 2022) ,  human , flexitarian , 
